id,toponimo,provincia,comune,bibliografia,etimologia,classificazione,localizzato,position_x,position_y,,,,,,,,,,,,,,,,,
166,Villa,Abbadonum,Macerata,Sarnano,Pieri,S.1969:369,Abbatem,=,Abate,localit�,Si,361824,4765539,,,,,,,,,,,,,
167,S.,Maria,de,Collina,0,0,,,agionimo,No,0,0,,,,,,,,,,,,,,
168,S.,Maria,de,Ricupulo,Macerata,Sarnano,,Ricola?,=,strada.,Calle,agionimo,Si,363881,4764908,,,,,,,,,,,
169,Cese,(di,Amandola),/,villa,Fermo,Amandola,Giammarco E. 1990:97; Finamore E. 1980 25,Caedare=,tagliare.,,agrotoponimo,Si,364111,4762801,,,,,,,,,,,
170,Arcelle,/,villa,Macerata,Sarnano,Pieri,S.,1969:326,"Arcam =  segnacolo confinario rettangolare o squadrato spesso inciso; letteralmente cassetta, scatola.  ",gromatico,Si,363779,4762536,,,,,,,,,,,,,
171,Golefrigo,Macerata,Sarnano,,Non,determinabile,localit�,Si,363377,4763778,,,,,,,,,,,,,,,,
172,Masseniani,Macerata,Gualdo,Pellegrini,G.B.,1981:253.,oppure,da,Messena,/,Messenus,Pieri,S.1969:27,Massinius.,Oppure,da,Messena,/,Messenus,,prediale,Si,365549,4767949,,
173,Folciano,Macerata,Gualdo,Schulze 1966:169; Pieri S. 1970:85,Fulcius,cfr,Fulcennius-inius,,prediale?,Si,364468,4767694,,,,,,,,,,,,,,
174,Massentii,/,Villa,Macerata,Gualdo,,Non,determinabile,localit�,Si,364713,4768259,,,,,,,,,,,,,,
175,S.,Elpidio,Macerata,Gualdo,,,agionimo,Si,365800,4768558,,,,,,,,,,,,,,,,
176,Morrionem,Macerata,Gualdo,Giammarco,E.1990:257,e,Giammarco,E.1960:87,Murra,=,altura,,roccia,,spuntone.,,,geotoponimo,Si,367337,4769243,,,,,
177,San,Felice,Macerata,Sarnano,,,agionimo,Si,365712,4765844,,,,,,,,,,,,,,,,
178,Rodulphy,Pypini,/,Villa,Macerata,Sarnano,,Nome,di,persona,localit�,Si,361462,4763501,,,,,,,,,,,,
179,Jaconum,/,Villa,Macerata,Sarnano,,Nome,di,persona,localit�,Si,361368,4763610,,,,,,,,,,,,,
180,Angeli,Carbonis,/,Villa,Macerata,Sarnano,,Deriva,da,un,nome/cognome,localit�,Si,361044,4763974,,,,,,,,,,,
181,Selva,de,Montano,Macerata,Gualdo,,Mons=,montagna,fitotoponimo,Si,362899,4762900,,,,,,,,,,,,,,
182,Colle,Cuni,Macerata,Sarnano,Giammarco,,E.,1990:144,Cuneus,=,punta,di,terra,tra,due,fiumi.,,oronimo,Si,362666,4762073,,,,,
183,Calcionum,/,Villa,Macerata,Sarnano,,Calx,=,calce,oppure,da,nome,di,Persona,localit�,Si,362661,4761862,,,,,,,,
184,Monte,Terramure,Macerata,Sarnano,Giammarco,E.,1990:182.,,150,,167,"Terre= terra; mure = muretto a secco, luogo fortificato. ",oronimo,Si,362025,4761740,,,,,,,,,,
185,Vitalis,Martini,/,villa,Macerata,Sarnano,,,localit�,No,0,0,,,,,,,,,,,,,,
186,Acqua,Ceresia,Macerata,Sarnano,Pieri,S.,1969:172,Cerasium,=,,ciliegio.,,idronimo,Si,359224,4759601,,,,,,,,,,
187,Montem,Teconis,Fermo,Amandola,,Non,determinabile,oronimo,Si,357306,4760124,,,,,,,,,,,,,,,
188,Colle,Berardi,Fermo,Amandola,,Nome,germanico,oronimo,Si,357329,4760550,,,,,,,,,,,,,,,
189,Collem,Gualbonem,Fermo,Amandola,,Non,determinabile,oronimo,Si,366049,4765808,,,,,,,,,,,,,,,
190,Afruano,/,Friano,Fermo,Amandola,Schulze,1966:159,oppure,da,Frisius,o,Fresius,Giammarco,E.1990:176,Freius.,,Oppure,da,Frisius,o,Fresius,,prediale?,Si,366758,4763466
191,Le,Campora,Macerata,Sarnano,Pieri,1969:,287,Campum.,,agrotoponimo,Si,363140,4765366,,,,,,,,,,,,,
192,Genestrule,Fermo,Amandola,Pieri,S.1969:183,Genestam,=,ginestra.,fitotoponimo,Si,366384,4766055,,,,,,,,,,,,,,
193,Scoplo/,Scoppio,Fermo,Amandola,Melelli,1982:,131,Scoglio,,rupe,,terreno,arido,e,sassoso.,,geotoponimo,Si,363729,4760114,,,,,,
194,Monte,Passillo,Ascoli,Piceno,Comunanza,,,oronimo,Si,370688,4758152,,,,,,,,,,,,,,,
196,Tragianu,Fermo,Amandola,Giammarco,E.,1960:173,Trajarecce,=,strada,carraia,,termine,medievale.,,localit�,No,0,0,,,,,,,,
197,Valle,di,Castello,Fermo,Amandola,Pellegrini,G.,B.,1990:214,Castellum.,,geotoponimo,Si,362343,4764492,,,,,,,,,,,
198,Vescolle,Fermo,Amandola,Giammarco,E.1960,Pescolle,=,pozzo,di,acqua,limpida.,,idronimo,Si,357685,4758603,,,,,,,,,,
199,Amaru,/,torrente,Ascoli,Piceno,Montefortino,Pellegrini G. B. 1994:237; Giammarco E.1960:131,Amaru,=,amaro.,Oppure,pianta,che,cresce,bene,,idronimo,Si,360411,4756814,,,,,,
200,Cerretana,Fermo,Montefortino,Giammarco E.1960:134; Finamore  E. 1980:25,Argilla,,terreno,inadatto,per,la,coltivazioneOppure,da,Cerrus,,pianta.,,fitotoponimo,Si,364705,4753967,,,,,,
201,Cerquitus,Fermo,Montefortino,Giammarco E.. 1960:134; Finamore E.  1980:25,Bosco,di,quercie.,fitotoponimo,Si,365941,4750085,,,,,,,,,,,,,,,
202,Colle,Selvani,Fermo,Montefortino,Pieri,S.1969:207,Silvam,=,bosco,oronimo/fitotoponimo,Si,367932,4753878,,,,,,,,,,,,,
203,Furcam,Ferrarium,Ascoli,Piceno,Montefortino,Pieri,S.1969:341,Ferrum.,,geotoponimo,Si,364969,4752091,,,,,,,,,,,,,
204,Fonte,Pesscarie,Fermo,Amandola,Giammarco,E.,1960:125,Pescolle,=,pozzo,d'acqua,pozzanghera,o,pozzo,di,acqua,limpida.,,idronimo,Si,361230,4763746,,,,
206,Furcham,Collium,Fermo,Amandola,Pieri,S.1969:290,Collem.,,geotoponimo,Si,362442,4757413,,,,,,,,,,,,,,
207,Furcilla,Sculche,Fermo,Amandola,Pellegrini,G.B.,1981:290,Skulk,=,guardia.,geotoponimo,Si,358703,4758731,,,,,,,,,,,,
208,Gabba,Macerata,Sarnano,,Cabea,=,strada,affossata,di,campagna,o,stretta,da,muri,di,case.,(Pagnani,G.),localit�,Si,362149,4764696,,,,
209,Gabba,Macerata,Sarnano,,,localit�,Si,365133,4760884,,,,,,,,,,,,,,,,,
210,Montefalcone,Fermo,Montefalcone,Pieri,S.1969:,225,Falconem.,,oronimo/zootoponimo,Si,374434,4760618,,,,,,,,,,,,,,
211,P.,Sancti,Costantii,Macerata,Gualdo,,,oronimo,Si,362515,4768626,,,,,,,,,,,,,,,
212,Leone,/,Castello,Fermo,Amandola,,Nome,di,persona,localit�,Si,366128,4759976,,,,,,,,,,,,,
213,Molendino,dei,Riccardi,Macerata,Sarnano,,,ergotoponimi,Si,362761,4763116,,,,,,,,,,,,,,,
214,Ponte,S.,Iacobi,Fermo,Amandola,,,agionimo,Si,364857,4757125,,,,,,,,,,,,,,,
215,Pracchia,Fermo,Amandola,Pellegrini,G.B.,1981:279,Peracula,=,albero,del,Pero.,agrotoponimo,Si,370306,4758025,,,,,,,,,,,
216,Ripa,Maior,Fermo,Amandola,Giammarco,E.,1960:92,Ripe,=,rupe,maggiore.,,oronimo,Si,357995,4757256,,,,,,,,,,
217,S.,Barnaba,/,contrada,Fermo,Amandola,,,agionimo,Si,365794,4760228,,,,,,,,,,,,,,
219,S.,Croce,Fermo,Amandola,,,localit�,Si,369297,4761329,,,,,,,,,,,,,,,,
220,S.,Eusebio,Macerata,Gualdo,,,agionimo,Si,359658,4764359,,,,,,,,,,,,,,,,
221,S.,Angelo,in,Montespino,Fermo,Montefortino,Pieri,S.,1969:208,Spinum.,agionimo,Si,365410,4753948,,,,,,,,,,,,
222,S.,Bendetto,al,Cippo,Macerata,San,Ginesio,,,gromatico,Si,360286,4774891,,,,,,,,,,,,,
223,Scurum,/,rigum,Ascoli,Piceno,Comunanza,,Scurum,=,scuro,idronimo,Si,370524,4753453,,,,,,,,,,,,
224,Tilla,Fermo,Montefortino,Schulze,1966:151.,,Oppure,Tellius.,Pieri,S.,,1969:119,Atilius.,,,Oppure,Tellius.,prediale,Si,368526,4754596,,,,,
225,Torrecelle,Fermo,Amandola,Finamore,E.,1980:76,Turricellam,=,Torricella.,,localit�,Si,359764,4757292,,,,,,,,,,,,
226,Silva,Ursi,Fermo,Amandola,Pieri,S.,,1969:86,Orso,oppure,da,Ursus.,,fitotoponimo/prediale?,Si,360970,4760236,,,,,,,,,
227,Valtanano,,,,Non,determinabile,geotoponimo,No,0,0,,,,,,,,,,,,,,,,
228,Valle,Arti,Fermo,Amandola,,Non,determinabile,geotoponimo,Si,362791,4757038,,,,,,,,,,,,,,,
229,Vallis,Porcorum,Fermo,Amandola,Pieri,S.1969:,234,Porcum,=,maiale.,,geotoponimo/zootoponimo,Si,362681,4762519,,,,,,,,,,,
230,Gruttilla,Fermo,Amandola,Pieri,S.,1969:,292,Crupatam,=,grotticella.,,geotoponimo,No,0,0,,,,,,,,,,,
231,S.,Benedetto,de,Jova,Ascoli,Piceno,Comunanza,,,agionimo,No,0,0,,,,,,,,,,,,,
232,S.,Maria,a,Terme,/,interamnia,Ascoli,Piceno,Comunanza,,,agionimo,Si,371711,4758047,,,,,,,,,,,
233,S.,Biagio,de,Teramo,Ascoli,Piceno,Comunanza,Finamore,E.,1980:74,Teramo.,,agionimo,No,0,0,,,,,,,,,,
234,Lu,Cupru,Fermo,Amandola,Pieri,S.,1969:20,Cupra,=,divinit�.,,localit�,Si,364214,4761993,,,,,,,,,,,
235,Sigismondi,Macerata,Gualdo,,Nome,di,persona,localit�,Si,367477,4767375,,,,,,,,,,,,,,,
236,Sant'Angelo,in,Valle,Venaria,Ascoli,Piceno,Montefortino,Finamore,E.,1980:,205,Venator,=,cacciatore.,agionimo,No,0,0,,,,,,,,
237,Capriglia,/,Caprilia,Fermo,Montefalcone,Pieri S.  1969:222; Finamore  E. 1980:19,Capram,o,da,Caprile,,stalla,,pascolo,per,capre.,,zootoponimo,Si,373008,4760348,,,,,
238,Qualaquai,/,rigum,Ascoli,Piceno,Comunanza,,Non,determinabile,idronimo,Si,373428,4758525,,,,,,,,,,,,,
240,S.,Bartolomeo,Fermo,Amandola,,,agionimo,No,0,0,,,,,,,,,,,,,,,,
241,S.,Pietro,in,Castagna,Fermo,Amandola,Castaneam.,,Pieri,S.,1969:172,Castaneam.,,,agionimo,Si,367734,4758459,,,,,,,,
242,S.,Donato,Fermo,Amandola,,,agionimo,Si,365074,4760785,,,,,,,,,,,,,,,,
243,S.,Gregorio,in,fundo,Cerreto,Macerata,San,Ginesio,,,agionimo,No,0,0,,,,,,,,,,,,
244,Monte,Colonnato,Macerata,San,Ginesio,Pieri,S.,1969:337,Columnam.,,oronimo,Si,358305,4769290,,,,,,,,,,,,
245,San,Ginesio,Macerata,San,Ginesio,,,agionimo,Si,363318,4774071,,,,,,,,,,,,,,,
246,S.,Giorgio,all'Isola,Ascoli,Piceno,Montefortino,,,agionimo,Si,365912,4749553,,,,,,,,,,,,,,
247,Lantiniani,/,Lontignano,Ascoli,Piceno,Montefortino,Schulze 1966:123.  Pieri S. 1969:92.  Giammarco E.1990:17. Da Lentinius G. Alessio 1963 67; da Lentius Schulze 1966: 191.  313.,Antenius. Da Lentinius; da Lentius ,prediale,Si,366737,4752728,,,,,,,,,,,,,,
248,S.,Angelo,Macerata,San,Ginesio,,,agionimo,Si,363376,4773233,,,,,,,,,,,,,,,
250,Gravarium,cupum,/,Monte,Fermo,Amandola,Giammarco,E.,1960:91,Ravate,=,materia,sassosa,e,ghiaiosa,portata,dalle,acque/,torrenti.,,oronimo,Si,360087,4757583,,
251,Marte,Fermo,Amandola,,,localit�,Si,364104,4756481,,,,,,,,,,,,,,,,,
252,Planum,Agelli,Fermo,Amandola,Pieri,S.,1969:,281,Agellum,=,,campicello.,agrotoponimo,Si,366953,4760109,,,,,,,,,,
253,Castania,Fermo,Amandola,Pieri,S.,,1969:172,Castaneam.,,fitotoponimo,Si,367698,4758428,,,,,,,,,,,,,
254,Castrum,Cardinis,Macerata,Gualdo,,Cardinis,gromatico,Si,367442,4770855,,,,,,,,,,,,,,,,
255,Cerreto,Macerata,San,Ginesio,Giammarco E.1960:134; Finamore  E. 1980:25,Argilla,,terreno,inadatto,per,la,coltivazione.,Oppure,da,Cerrus,,pianta.,,fitotoponimo,Si,361872,4770039,,,,
256,Cesae,/,rigum,Macerata,Gualdo,Giammarco E. 1990:97; Finamore E. 1980 25,Caedare=,tagliare.,idronimo,Si,363596,4769084,,,,,,,,,,,,,,
257,Gravario,Nucis/,Monte,Fermo,Amandola,Giammarco,E.,1960:91,Ravate,=,materia,sassosa,e,ghiaiosa,portata,dalle,acque/,torrenti.,,oronimo/fitotoponimo,Si,359496,4758397,,,
258,Santa,Maria,inter,rivora,-,Piobbico,Macerata,Sarnano,,,agionimo,Si,358996,4762927,,,,,,,,,,,,
259,S.,Nicola,in,Perticaria,Fermo,Montefalcone,,Pieri,S.,1969:196,Perticam.,,gromatico,Si,374669,4764560,,,,,,,,,,
260,Smerillo,Fermo,Smerillo,,Smeriglio,=,Tipologia,di,falco,utilizzata,nel,medioevo.,zootoponimo,Si,373292,4762469,,,,,,,,,,
261,P.,Sancti,Michaelis,Macerata,Gualdo,,,oronimo,Si,363177,4767900,,,,,,,,,,,,,,,
262,Gualdo,Macerata,Gualdo,Pieri,S.,1969:215,Wald,=,bosco.,,fitotoponimo,Si,364703,4769592,,,,,,,,,,,,
263,Iuliano,/,fundo,Fermo,Amandola,Pieri,S.1969:110,Iulius.,,prediale,No,0,0,,,,,,,,,,,,,
264,Nova,Fermo,Amandola,Pieri,S.,1969:288,Novu.,,localit�,No,0,0,,,,,,,,,,,,,,
265,Campo,dei,Viani,0,0,Giammarco E. 1990:408; Atzori 1962:22 da Vivius; Olivieri 1965:368 da Vicanalis = insieme di terre comuni dei vicini di un vico; G. Alessio 1963 da Ovidius oppure avidius vibius Schulze 1966:102,"Viano,  da Vivius; da Vicanalis = insieme di terre comuni dei vicini di un vico; da Ovidius oppure avidius vibius ",agrotoponimo,No,0,0,,,,,,,,,,,,,,,
266,Campo,Mari,0,0,Conti,S.1984:194.,Oppure,dal,nome,Mario,Marisk.,germanico,=,zona,palustre.,Oppure,dal,nome,Mario,agrotoponimo,Si,362736,4757048,,,
267,Castrum,Brunfortis,/,Monte,Morro,Macerata,Sarnano,Giammarco,,E.1990:257,e,Giammarco,E..,1960:87),Murra,=,altura,,roccia,,spuntone.,,oronimo,Si,359610,4766840
268,Castorano,Fermo,Smerillo,Pieri S.1969; ,Castorius,prediale,Si,371488,4761243,,,,,,,,,,,,,,,,,
269,Servigliani,Macerata,Sarnano,Schulze 1966 231; Pellegrini G.B. 1981:258,Servilius.,,prediale,Si,361661,4764056,,,,,,,,,,,,,,,,
271,Lisciano,Ascoli,Piceno,Comunanza,Pellegrini G.B. 1981:252; oppure Giammarco E.1990:216 abitanti della cittadina di Liscia,Lissius o da Lisius ; oppure  abitanti della cittadina di Liscia,prediale,Si,372191,4752512,,,,,,,,,,,,,,,,
272,Pugliano,Fermo,Montefalcone,Pieri,S.1969,:95,oppure,da,Pullius,Pellegrini,G.B.,1981:256,Appulius.,Pieri,S.1969,:95,oppure,da,Pullius,,prediale,Si,364371,4748884,,
273,Saletta,Fermo,Monte,San,Martino,Pieri,S.,1969:358,Sala,=,casa,di,campagna.,localit�,Si,372676,4768081,,,,,,,,,
274,Palombara,Fermo,Amandola,Pieri,S.1969:,231,Palumbus.,zootoponimo,Si,367096,4762719,,,,,,,,,,,,,,,
275,Frattari,/,Case,Fermo,Amandola,Giammarco E.1960:136; da Fractum Pieri S. 1969:255,Fratte,=,boscaglia,fitotoponimo,Si,364819,4764020,,,,,,,,,,,,,
276,Lama,Fermo,Amandola,Pieri,S.1969:299,Lamam,=,fangoso,,franoso.,,geotoponimo,Si,368343,4760984,,,,,,,,,,,
277,Poggio,Faete,Fermo,Montefalcone,Pieri,S.1969:178,Fagus,=,Faggio.,,oronimo/fitotoponimo,Si,375875,4761940,,,,,,,,,,,,
278,Caprafico,0,0,Pieri S.1969:171; Finamore E.1980:18. ,Caprificum.,Tipo,di,fico,sul,quale,�,possibile,effettuare,la,caprificazione,(tipo,di,fecondazione),fitotoponimo,No,0,0,,,,
280,Buttunderi/,Butondoli,Fermo,Amandola,Migliario,E.1992:,375,"Botontini = ""specie di cippo, fatto con un mucchio di terra""  Usato anche nei limiti della propriet�",gromatico,Si,364957,4764871,,,,,,,,,,,,,,
281,Caldarella,/,fosso,0,0,Pieri,S.,1969,:249,Calidum,,=,acqua,calda.,,idronimo,Si,359978,4767566,,,,,,,
282,Cese,di,Montefortino,Fermo,Montefortino,Giammarco,E.,1990:97.,,Finamore,E.,1980:,25,Cesa,da,Caedare=,tagliare.,,agrotoponimo,Si,363781,4752397,,,,
283,Cese,di,Smerillo,Fermo,Smerillo,Giammarco,E.,1990:97.,,Finamore,E.,1980:,25,Cesa,da,Caedare=,tagliare.,,agrotoponimo,Si,374380,4762963,,,,
284,Collato,Macerata,Sarnano,Pieri,S.,1970:282,Collem,+,Latu.,,oronimo,Si,358750,4763664,,,,,,,,,,,,
285,Colle,del,Re,Macerata,San,Ginesio,,,oronimo,Si,360290,4772016,,,,,,,,,,,,,,
286,Cortigliano,Fermo,Smerillo,Schulze 78; Pieri S. 1969:104,Curtilius.,,prediale,Si,372113,4762955,,,,,,,,,,,,,,,,
287,La,Palombara,Fermo,0,Pieri,S.1969:,231,Palumbus.,zootoponimo,Si,372522,4768411,,,,,,,,,,,,,,
288,Le,Cese,Macerata,Sarnano,Giammarco,E.,1990:97.,,Finamore,E.,1980:,25,Cesa,da,Caedare=,tagliare.,agrotoponimo,Si,358913,4762181,,,,,,
290,Marziali,Fermo,Montefalcone,Pieri,S.,1969:75,Marzio,/,Marziale.,,localit�,Si,373369,4759809,,,,,,,,,,,,
291,Mercuri,Fermo,Montefalcone,,,localit�,Si,373449,4759014,,,,,,,,,,,,,,,,,
292,Palombara2,Fermo,Amandola,Pieri,S.1969:,231,Palumbus.,,zootoponimo,Si,369216,4751926,,,,,,,,,,,,,,
293,Palombara3,Ascoli,Piceno,Comunanza,Pieri,S.1969:,231,Palumbus.,zootoponimo,Si,364934,4758969,,,,,,,,,,,,,,
294,Palombara4,Fermo,Amandola,Pieri,S.1969:,231,Palumbus.,zootoponimo,Si,360457,4767406,,,,,,,,,,,,,,,
295,Palombara5,Macerata,Sarnano,Pieri,S.1969:,231,Palumbus.,zootoponimo,Si,369588,4768290,,,,,,,,,,,,,,,
296,Paolombara6,Macerata,Gualdo,Pieri,S.1969:,231,Palumbus.,zootoponimo,Si,375798,4759161,,,,,,,,,,,,,,,
297,Palombara,Fermo,Montefalcone,Pieri,S.1969:,231,Palumbus.,zootoponimo,Si,366117,4759283,,,,,,,,,,,,,,,
298,Saletta,/,torrente,Macerata,Gualdo,Pieri,S.,1969:358,Sala,=,abitazione,di,campagna,,germanico.,,idronimo,Si,363866,4768123,,,,,,
299,Durano,/,Turano,Fermo,Amandola,Giammarco,E.,1990:392,Turanius,aggettivo,da,Turus.,,localit�,Si,368466,4756908,,,,,,,,,
300,Vena,de,Bossonica,Fermo,Montefortino,,Non,determinabile,geotoponimo,Si,366440,4757400,,,,,,,,,,,,,,
301,Valle,Colonnari,Macerata,San,Ginesio,Pieri,S.,1970:,337,Columna.,,geotoponimo,Si,358778,4770517,,,,,,,,,,,
302,Laquianano,/,Aquiano,0,0,,Non,determinabile,localit�,Si,362531,4762635,,,,,,,,,,,,,,
303,Canale,di,Pietra,0,0,,,geotoponimo,Si,364001,4760817,,,,,,,,,,,,,,,
304,Cerqueto,Macerata,San,Ginesio,Giammarco E. 1960:134; Finamore E.1980:25,Bosco,di,quercie.,,fitotoponimo,Si,359144,4769073,,,,,,,,,,,,,
305,Pracchia,0,0,,Pellegrini,G.B.,1981:279,Peracula,=,albero,del,Pero.,,agrotoponimo,Si,369713,4758616,,,,,,,,,
306,Aso,/,fiume,0,0,,,idronimo,Si,370387,4756669,,,,,,,,,,,,,,,
307,Lama,0,0,,Pieri,S.1969:299,Lamam,=,fangoso,,franoso.,,geotoponimo,No,0,0,,,,,,,,,,
308,Cerole,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
309,Corse,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
310,Granariolo,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
311,Ramoni/,Villa,de,0,0,,Nome,di,persona,localit�,No,0,0,,,,,,,,,,,,,
312,Aspecto,/,Villa,de,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,
313,Fagieto,Rotundo,0,0,Pieri,S.1969:178,Fagus,=,Faggio.,,fitotoponimo,No,0,0,,,,,,,,,,,,
314,Sale,Macine,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,
315,Cammiano,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
316,Colle,Alveresia,0,0,,Non,determinabile,oronimo,No,0,0,,,,,,,,,,,,,,,
317,Mure,Villa,0,0,Giammarco,E.,1990:182.,,150,,167,Mure,=,muretto,a,secco,,luogo,fortificato.,,localit�,No,0,0,,
318,Fago,Ranciata,0,0,Pieri,S.1969:178,Fagus,=,Faggio.,,fitotoponimo,No,0,0,,,,,,,,,,,,
319,Petra,Arnaldi,0,0,,Nome,di,persona,geotoponimo,Si,363899,4758872,,,,,,,,,,,,,,
320,Colle,/,curtis,0,0,,,oronimo,No,0,0,,,,,,,,,,,,,,,
321,Blubaria,/,rigum,0,0,,Non,determinabile,idronimo,No,0,0,,,,,,,,,,,,,,
322,Pinte,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
323,Colle,Urgiale,0,0,,Non,determinabile,oronimo,No,0,0,,,,,,,,,,,,,,,
324,Terrotana,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
325,Betoniano,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
326,Manucelle,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
327,Cerindonica,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,,,,
328,Casale,Macerata,Gualdo,,,localit�,Si,363655,4765187,,,,,,,,,,,,,,,,,
329,Maccle,/,rigum,0,0,Pieri S. 1969:189; Pellegrini G.B.1990:558,Maculam,=macchia,,boscaglia.,,idronimo,No,0,0,,,,,,,,,,,
330,Maiavilla,0,0,,,localit�,No,0,0,,,,,,,,,,,,,,,,,
331,De,Folle,/,rigum,0,0,,,idronimo,No,0,0,,,,,,,,,,,,,,
332,Busseino,/,curtis,fundo,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,,,,
333,Merule,maiore,e,minore,/,Curtis,fundo,0,0,,Non,determinabile,localit�,No,0,0,,,,,,,,,,
334,I,Mucchi,0,0,,,gromatico,Si,362708,4763620,,,,,,,,,,,,,,,,
335,Col,Murelli,Macerata,Sarnano,Giammarco,E.,1990:182.,,150,,167,Mure,=,muretto,a,secco,,luogo,fortificato.,,oronimo,Si,360701,4766251,,
336,Monte,Metam,/,Pizzo,Meta,Macerata,Sarnano,Giammarco E. 1990:162; Pieri S. 1969:349,Meta?,oronimo,Si,356498,4764302,,,,,,,,,,,,,
337,Monte,Sasso,Tetto,Macerata,Sarnano,,,oronimo,Si,355857,4762896,,,,,,,,,,,,,,,
338,Ad,Martes,Macerata,Sarnano,,,localit�,Si,360512,4766081,,,,,,,,,,,,,,,,
339,Colle,Attuccio,Macerata,Sarnano,,Nome,di,persona,oronimo,Si,361157,4766025,,,,,,,,,,,,,,
340,Valcaiano,Macerata,Sarnano,,Non,determinabile,localit�,Si,360653,4767494,,,,,,,,,,,,,,,,
